dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,seed,method,accuracy,ece_percent,adaptive_ece_percent,brier,auroc
chartqa,m3,2,9,9,10,9,46,Naive Confidence (NC),7.000000000000001,72.47811046987773,72.47811046987773,0.6173881122805218,0.8662154377880185
chartqa,m3,2,9,9,10,9,46,Temperature Scaling (TS),7.000000000000001,46.920155608858884,46.920155608858884,0.2784630708226317,0.8662154377880185
chartqa,m3,2,9,9,10,9,46,Platt Scaling (1D),7.000000000000001,3.4610385893346693,3.077544597967963,0.0534239680349003,0.8662154377880185
chartqa,m3,2,9,9,10,10,46,Trajectory Platt (5D),7.000000000000001,3.3033618737244983,3.604429936618545,0.053592007848942594,0.8633832565284177
chartqa,m3,3,36,36,46,36,42,Naive Confidence (NC),8.0,73.64519794285297,73.64519794285297,0.6395597534238584,0.8590353260869565
chartqa,m3,3,36,36,46,36,42,Temperature Scaling (TS),8.0,46.0341268369126,46.034126836912584,0.27828734548347817,0.8590353260869565
chartqa,m3,3,36,36,46,36,42,Platt Scaling (1D),8.0,3.5476384227326734,3.2951812006055237,0.058811316912836864,0.8590353260869565
chartqa,m3,3,36,36,46,46,42,Trajectory Platt (5D),8.0,2.6820637119235475,3.197796653141268,0.05838283674644615,0.8523267663043478
chartqa,m3,3,36,36,46,36,43,Naive Confidence (NC),8.0,70.82984963059424,70.82984963059425,0.597368204522359,0.8406080163043479
chartqa,m3,3,36,36,46,36,43,Temperature Scaling (TS),8.0,45.65794774535603,45.65794774535604,0.27497086459539377,0.8406080163043479
chartqa,m3,3,36,36,46,36,43,Platt Scaling (1D),8.0,2.7567747664516045,3.936437540886057,0.05848558145755803,0.8406080163043479
chartqa,m3,3,36,36,46,46,43,Trajectory Platt (5D),8.0,2.050259926822036,2.664195178076625,0.05876220781672025,0.8288043478260869
chartqa,m3,3,36,36,46,36,44,Naive Confidence (NC),8.0,72.36443903297184,72.36443903297184,0.6198489188143101,0.8189962635869565
chartqa,m3,3,36,36,46,36,44,Temperature Scaling (TS),8.0,45.88486856061611,45.88486856061611,0.2777582525498277,0.8189962635869565
chartqa,m3,3,36,36,46,36,44,Platt Scaling (1D),8.0,1.8636472481376034,3.5965019762637813,0.061261095642369284,0.8189962635869565
chartqa,m3,3,36,36,46,46,44,Trajectory Platt (5D),8.0,2.0750873391516502,3.429971246048809,0.060755518585172655,0.8223505434782609
chartqa,m3,3,36,36,46,36,45,Naive Confidence (NC),8.0,73.00566378980875,73.00566378980875,0.6242613298666233,0.8609884510869565
chartqa,m3,3,36,36,46,36,45,Temperature Scaling (TS),8.0,45.86637183832474,45.86637183832473,0.2778065827535477,0.8609884510869565
chartqa,m3,3,36,36,46,36,45,Platt Scaling (1D),8.0,2.4193062673509256,3.2396523972444955,0.06393115330751305,0.8609884510869565
chartqa,m3,3,36,36,46,46,45,Trajectory Platt (5D),8.0,2.4818031662143762,4.183277665171771,0.06473946462478386,0.840438179347826
chartqa,m3,3,36,36,46,36,46,Naive Confidence (NC),8.0,72.85046351701021,72.85046351701021,0.622947594495662,0.8938519021739131
chartqa,m3,3,36,36,46,36,46,Temperature Scaling (TS),8.0,46.04548949500675,46.04548949500675,0.27737953151648886,0.8938519021739131
chartqa,m3,3,36,36,46,36,46,Platt Scaling (1D),8.0,3.2150922986468364,2.6885024126072694,0.05621623195062776,0.8938519021739131
chartqa,m3,3,36,36,46,46,46,Trajectory Platt (5D),8.0,4.076010894495993,3.726323075126856,0.05567083761990726,0.8904551630434783
chartqa,m3,4,144,144,190,144,42,Naive Confidence (NC),9.5,71.14517303183673,71.14517303183673,0.6111373173671036,0.891029369002617
chartqa,m3,4,144,144,190,144,42,Temperature Scaling (TS),9.5,44.95680442572354,44.631127729621156,0.2751732002637024,0.891029369002617
chartqa,m3,4,144,144,190,144,42,Platt Scaling (1D),9.5,3.7515185433336518,5.6293062964832306,0.06419175434323957,0.891029369002617
chartqa,m3,4,144,144,190,190,42,Trajectory Platt (5D),9.5,4.622796220239253,4.441793547477574,0.06398263885693393,0.8951003198604245
chartqa,m3,4,144,144,190,144,43,Naive Confidence (NC),9.5,71.70792352888404,71.70792352888404,0.6193237702038721,0.8187336435010177
chartqa,m3,4,144,144,190,144,43,Temperature Scaling (TS),9.5,44.63479026560466,44.63479026560467,0.2776524696628506,0.8187336435010177
chartqa,m3,4,144,144,190,144,43,Platt Scaling (1D),9.5,4.208026940082375,3.702575866644183,0.07108516135647765,0.8187336435010177
chartqa,m3,4,144,144,190,190,43,Trajectory Platt (5D),9.5,5.209999195067213,5.8241908110212535,0.07115076397315258,0.821677813317825
chartqa,m3,4,144,144,190,144,44,Naive Confidence (NC),9.5,71.14633378386497,71.14633378386497,0.6103466032963971,0.8336725792381506
chartqa,m3,4,144,144,190,144,44,Temperature Scaling (TS),9.5,44.64968964841654,44.50742904579258,0.2756925472417063,0.8336725792381506
chartqa,m3,4,144,144,190,144,44,Platt Scaling (1D),9.5,2.552328344245245,3.057156326496815,0.06835041599085345,0.8336725792381506
chartqa,m3,4,144,144,190,190,44,Trajectory Platt (5D),9.5,2.6313393595628436,2.105804278049618,0.06830202066952096,0.8369438790346031
chartqa,m3,4,144,144,190,144,45,Naive Confidence (NC),9.5,69.5636199042201,69.5636199042201,0.5916681512723446,0.8152079092759522
chartqa,m3,4,144,144,190,144,45,Temperature Scaling (TS),9.5,44.24578082641288,44.24578082641288,0.27353526406144296,0.8152079092759522
chartqa,m3,4,144,144,190,144,45,Platt Scaling (1D),9.5,3.1497079320494294,4.465424729991263,0.06823701804331309,0.8152079092759522
chartqa,m3,4,144,144,190,190,45,Trajectory Platt (5D),9.5,2.6102515521924943,3.3677899159956723,0.06880882774488202,0.814335562663565
chartqa,m3,4,144,144,190,144,46,Naive Confidence (NC),9.5,70.9728998541832,70.9728998541832,0.6092719186446907,0.835889793544635
chartqa,m3,4,144,144,190,144,46,Temperature Scaling (TS),9.5,44.61207923234787,44.61207923234786,0.276235921686458,0.835889793544635
chartqa,m3,4,144,144,190,144,46,Platt Scaling (1D),9.5,3.1741847383429547,4.2103192425489055,0.06683239782384814,0.835889793544635
chartqa,m3,4,144,144,190,190,46,Trajectory Platt (5D),9.5,3.7850729534402485,3.6697632130235442,0.06806086513714331,0.8275661529514393
chartqa,m3,5,576,576,766,576,42,Naive Confidence (NC),9.75,71.02881964776336,71.02881964776337,0.6151007746587842,0.8071595994033667
chartqa,m3,5,576,576,766,576,42,Temperature Scaling (TS),9.75,44.46739206208505,44.467392062085054,0.27821032785466815,0.8071595994033667
chartqa,m3,5,576,576,766,576,42,Platt Scaling (1D),9.75,3.2312949591092606,3.621487069936613,0.07545686950512273,0.8071595994033667
chartqa,m3,5,576,576,766,766,42,Trajectory Platt (5D),9.75,3.3086387524381276,2.8844345258548856,0.0751886832475444,0.8182399318133391
chartqa,m3,5,576,576,766,576,43,Naive Confidence (NC),9.75,69.26457761228085,69.26457761228086,0.600934771882757,0.7412458271184033
chartqa,m3,5,576,576,766,576,43,Temperature Scaling (TS),9.75,44.131882392261446,44.131882392261446,0.2774647393909537,0.7412458271184033
chartqa,m3,5,576,576,766,576,43,Platt Scaling (1D),9.75,3.379837184474669,3.9073586021401208,0.08170855489328423,0.7412458271184033
chartqa,m3,5,576,576,766,766,43,Trajectory Platt (5D),9.75,3.1149560548365116,4.022039420902729,0.08158862600995526,0.7544569926841395
